Subject,Mode,ScenarioName,UniqueID,ROI,reactionTime,Week,ParticipantID,MatchID,Case,Location,Gender,minHeadwayDist
3110004w1,Experimenter,"Load, Event",1649709,3,2.333,1,3110004,4,Case,UAB,Male,10.760736
3110004w1,Experimenter,"Load, Event",1649709,1,1.434,1,3110004,4,Case,UAB,Male,13.130343
3110004w1,Experimenter,"Load, Event",1649709,5,0.951,1,3110004,4,Case,UAB,Male,10000
3110004w1,Experimenter,"No Load, Event",1649709,3,0.516,1,3110004,4,Case,UAB,Male,21.296742
3110004w1,Experimenter,"No Load, Event",1649709,1,,1,3110004,4,Case,UAB,Male,10000
3110004w1,Experimenter,"No Load, Event",1649709,5,0.8,1,3110004,4,Case,UAB,Male,19.342242
3110006w1,Experimenter,"No Load, Event",1665006044,3,,1,3110006,6,Case,UAB,Male,10000
3110006w1,Experimenter,"No Load, Event",1665006044,1,,1,3110006,6,Case,UAB,Male,10000
3110006w1,Experimenter,"No Load, Event",1665006044,5,0,1,3110006,6,Case,UAB,Male,13.203203
3110006w1,Experimenter,Practice,1665003597,3,,1,3110006,6,Case,UAB,Male,10000
3110006w1,Experimenter,Practice,1665003597,1,,1,3110006,6,Case,UAB,Male,10000
3110006w1,Experimenter,Practice,1665003597,5,0.051,1,3110006,6,Case,UAB,Male,30.825386
3110006w1,Experimenter,"Load, Event",1665005437,3,1.6,1,3110006,6,Case,UAB,Male,14.643837
3110006w1,Experimenter,"Load, Event",1665005437,1,0.8,1,3110006,6,Case,UAB,Male,14.548371
3110006w1,Experimenter,"Load, Event",1665005437,5,,1,3110006,6,Case,UAB,Male,10000
3110004w1,Experimenter,Practice,1649708725,3,,1,3110004,4,Case,UAB,Male,10000
3110004w1,Experimenter,Practice,1649708725,1,,1,3110004,4,Case,UAB,Male,10000
3110004w1,Experimenter,Practice,1649708725,5,9.834,1,3110004,4,Case,UAB,Male,18.692142
3110007w1,Experimenter,"Load, Event",16652,3,0.451,1,3110007,7,Case,UAB,Male,18.969967
3110007w1,Experimenter,"Load, Event",16652,1,0.983,1,3110007,7,Case,UAB,Male,20.761634
3110007w1,Experimenter,"Load, Event",16652,5,0.484,1,3110007,7,Case,UAB,Male,10000
3110008w1,Experimenter,Practice,1668011493,3,,1,3110008,8,Case,UAB,Male,10000
3110008w1,Experimenter,Practice,1668011493,1,,1,3110008,8,Case,UAB,Male,10000
3110008w1,Experimenter,Practice,1668011493,5,1.417,1,3110008,8,Case,UAB,Male,46.8797
3110008w1,Experimenter,"No Load, Event",1668014132,3,,1,3110008,8,Case,UAB,Male,10000
3110008w1,Experimenter,"No Load, Event",1668014132,1,,1,3110008,8,Case,UAB,Male,10000
3110008w1,Experimenter,"No Load, Event",1668014132,5,1.151,1,3110008,8,Case,UAB,Male,15.787039
3120001w1,Experimenter,"No Load, Event",1646927441,3,,1,3120001,1,Case,UAB,Female,58.342577
3120001w1,Experimenter,"No Load, Event",1646927441,1,,1,3120001,1,Case,UAB,Female,10000
3120001w1,Experimenter,"No Load, Event",1646927441,5,0,1,3120001,1,Case,UAB,Female,20.45005
3110007w1,Experimenter,"No Load, Event",1665239271,3,,1,3110007,7,Case,UAB,Male,10000
3110007w1,Experimenter,"No Load, Event",1665239271,1,,1,3110007,7,Case,UAB,Male,10000
3110007w1,Experimenter,"No Load, Event",1665239271,5,0.015,1,3110007,7,Case,UAB,Male,19.857072
3120001w1,Experimenter,"Load, Event",1646848619,3,0,1,3120001,1,Case,UAB,Female,20.268433
3120001w1,Experimenter,"Load, Event",1646848619,1,0.65,1,3120001,1,Case,UAB,Female,25.995164
3120001w1,Experimenter,"Load, Event",1646848619,5,,1,3120001,1,Case,UAB,Female,10000
3110007w1,Experimenter,Practice,1665236618,3,,1,3110007,7,Case,UAB,Male,10000
