Week,ScenarioName,Event,manuever pos,CENum
1,"Load, Event",Cut-in,1814.1,1
1,"Load, Event",Cut-off,4253.06,2
1,"Load, Event",Trashtip,6191.56,3
1,"No Load, Event",Trashtip,1726.24,1
1,"No Load, Event",Trashtip,3222.08,2
1,"No Load, Event",Cut-off,4302.43,3
2,"Load, Event",Cut-in,1814.33,1
2,"Load, Event",Cut-off,2663.24,2
2,"Load, Event",Cut-off,4707.4,3
2,"No Load, Event",Cut-in,1814.34,1
2,"No Load, Event",Cut-off,4368.44,2
2,"No Load, Event",Trashtip,5933.87,3
3,"Load, Event",Cut-off,-3997.57,1
3,"Load, Event",Trashtip,1567.4,2
3,"Load, Event",Cut-in,1814.34,3
3,"No Load, Event",Trashtip,5640,1
3,"No Load, Event",Cut-in,1814.57,2
3,"No Load, Event",Trashtip,1763.47,3
4,"Load, Event",Cut-in,1814.44,1
4,"Load, Event",Cut-off,2718.38,2
4,"Load, Event",Cut-off,4465.32,3
4,"No Load, Event",Cut-in,1814.45,1
4,"No Load, Event",Cut-off,4306.47,2
4,"No Load, Event",Trashtip,5311.45,3
5,"Load, Event",Cut-in,1814.33,1
5,"Load, Event",Cut-off,4253.41,2
5,"Load, Event",Trashtip,6207.28,3
5,"No Load, Event",Trashtip,3222.2,1
5,"No Load, Event",Trashtip,2406.36,2
5,"No Load, Event",Cut-off,4302.54,3
6,"Load, Event",Cut-off,18.3582,1
6,"Load, Event",Trashtip,982.312,2
6,"Load, Event",Cut-in,1814.22,3
6,"No Load, Event",Trashtip,1308.44,1
6,"No Load, Event",Cut-in,1607.4,2
6,"No Load, Event",Trashtip,4300.35,3
7,"Load, Event",Cut-in,1814.34,1
7,"Load, Event",Cut-off,4253.41,2
7,"Load, Event",Trashtip,6191.21,3
7,"No Load, Event",Trashtip,1726.36,1
7,"No Load, Event",Trashtip,3222.2,2
7,"No Load, Event",Cut-off,4302.2,3
8,"Load, Event",Cut-in,1814.55,1
8,"Load, Event",Cut-off,2663.35,2
8,"Load, Event",Cut-off,4707.4,3
8,"No Load, Event",Cut-in,1814.34,1
8,"No Load, Event",Cut-off,4368.44,2
8,"No Load, Event",Trashtip,5934.22,3
9,"Load, Event",Cut-in,1814.1,1
9,"Load, Event",Cut-off,2663.47,2
9,"Load, Event",Cut-off,4707.17,3
9,"No Load, Event",Cut-in,1814.45,1
9,"No Load, Event",Cut-off,4368.44,2
9,"No Load, Event",Trashtip,5934.22,3
